"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2025-00223381","10/08/2025 20:26:00","10/08/2025 - 20:26","Injured/Sick Person","CBE",NA,"8100 block of La Plata Dr"
"2025-00223391","10/08/2025 15:54:00","10/08/2025 - 21:03","Assist Other Agency","CBE",NA,"7500 block of Baltimore Ave"
"2025-00223550","10/08/2025 23:50:00","10/08/2025 - 23:50","Injured/Sick Person","Active/Pending",NA,"7600 block of Regents Dr"
"2025-00223593","10/09/2025 00:34:00","10/09/2025 - 00:34","Assist Other Agency","CBE",NA,"9000 block of Baltimore Ave"
"2025-00223820","10/09/2025 06:00:00","10/09/2025 - 06:50","Other Incident","CBE",NA,"8200 block of Paint Branch Dr"
"2025-00223891","10/09/2025 09:01:00","10/09/2025 - 09:01","Assist Other Agency","CBE",NA,"4300 block of Knox Rd"
"2025-00223909","10/09/2025 10:25:00","10/09/2025 - 10:25","Other Incident","CBE",NA,"8000 block of Regents Dr"
"2025-00223936","10/09/2025 12:04:00","10/09/2025 - 12:04","Injured/Sick Person","CBE",NA,"8000 block of Regents Dr"
"2025-00223945","10/09/2025 10:00:00","10/09/2025 - 12:37","Injured/Sick Person","CBE",NA,"3900 block of Campus Dr"
"2025-00224002","10/08/2025 10:21:00","10/09/2025 - 14:42","Theft","Active/Pending",NA,"8000 block of Hagerstown Dr"
"2025-00224016","10/09/2025 14:58:00","10/09/2025 - 14:58","Check on the  Welfare","CBE",NA,"8100 block of La Plata Dr"
"2025-00224149","10/09/2025 18:25:00","10/09/2025 - 18:32","Sex Offense","Arrest",NA,"4100 block of Stadium Dr"
"2025-00224151","10/09/2025 16:30:00","10/09/2025 - 18:56","Theft","Investigation Pending",NA,"8200 block of Paint Branch Dr"
"2025-00224162","10/09/2025 18:40:00","10/09/2025 - 19:50","Other Incident","CBE",NA,"3800 block of Stadium Dr"
"2025-00224200","09/25/2025 17:00:00","10/09/2025 - 22:01","Sex Offense","Active/Pending",NA,"4100 block of Stadium Dr"
"2025-00224269","10/09/2025 23:05:00","10/09/2025 - 23:05","Injured/Sick Person","CBE",NA,"7300 block of Baltimore Ave"
"2025-00224301","10/08/2025 00:00:00","10/09/2025 - 23:16","Extortion","CBE",NA,"7500 block of Baltimore Ave"
"2025-00224345","10/09/2025 23:55:00","10/09/2025 - 23:55","Injured/Sick Person","CBE",NA,"Dickinson Ave"
"2025-00224860","10/09/2025 21:00:00","10/10/2025 - 09:54","Theft","Investigation Pending",NA,"4100 block of Stadium Dr"
"2025-00224899","10/09/2025 22:00:00","10/10/2025 - 11:12","Hate Bias Incident","Active/Pending",NA,"4200 block of Farm Dr"
"2025-00224925","10/10/2025 10:00:00","10/10/2025 - 12:38","Extortion","Active/Pending",NA,"7500 block of Baltimore Ave"
"2025-00224976","10/10/2025 15:05:00","10/10/2025 - 15:27","Vandalism","Active/Pending",NA,"7600 block of Library Ln"
"2025-00225218","10/10/2025 18:50:00","10/10/2025 - 18:54","Injured/Sick Person","CBE",NA,"3900 block of Campus Dr"
"2025-00225386","09/18/2025 21:20:00","10/10/2025 - 21:36","Theft","Investigation Pending",NA,"Lot U1"
"2025-00225417","10/10/2025 22:14:00","10/10/2025 - 22:14","Accident - Departmental","CBE",NA,"Lot 1b"
"2025-00225424","10/10/2025 22:00:00","10/10/2025 - 22:29","Vandalism","Arrest",NA,"7500 block of Mowatt Ln"
"2025-00225500","10/10/2025 23:58:00","10/10/2025 - 23:58","DWI/DUI","Arrest",NA,"University Blvd"
"2025-00225580","10/11/2025 00:39:00","10/11/2025 - 00:39","DWI/DUI","Arrest",NA,"University Blvd"
"2025-00225621","10/10/2025 17:30:00","10/11/2025 - 01:00","Vandalism","Active/Pending",NA,"7500 block of Mowatt Ln"
"2025-00225710","10/10/2025 22:00:00","10/11/2025 - 04:31","Assist Other Agency","CBE",NA,"7900 block of New Hampshire Ave"
"2025-00225941","10/11/2025 10:35:00","10/11/2025 - 10:37","Recovered Stolen Property","Arrest",NA,"8900 block of Paint Branch Dr"
"2025-00225948","10/11/2025 11:36:00","10/11/2025 - 11:36","Assist Other Agency","CBE",NA,"5000 block of Berwyn Rd"
"2025-00226049","10/11/2025 15:18:00","10/11/2025 - 15:18","Injured/Sick Person","CBE",NA,"Engineering Dr"
"2025-00226077","10/11/2025 17:20:00","10/11/2025 - 17:23","Injured/Sick Person","CBE",NA,"3900 block of Campus Dr"
"2025-00226111","10/09/2025 19:30:00","10/11/2025 - 18:58","Theft","Active/Pending",NA,"3400 block of Tulane Dr"
"2025-00226114","10/11/2025 19:11:00","10/11/2025 - 19:17","Assault","Active/Pending",NA,"Lot 1c"
"2025-00226118","10/11/2025 19:36:00","10/11/2025 - 19:36","DWI/DUI","Arrest",NA,"8000 block of Regents Dr"
"2025-00226207","10/11/2025 23:00:00","10/12/2025 - 00:24","Check on the  Welfare","CBE",NA,"3900 block of Denton Service Ln"
"2025-00226306","10/12/2025 02:45:00","10/12/2025 - 02:45","DWI/DUI","Arrest",NA,"8600 block of Adelphi Rd"
"2025-00226936","10/12/2025 19:00:00","10/12/2025 - 19:00","Assist Other Agency","CBE",NA,"3700 Campus Dr"
"2025-00226939","10/12/2025 17:30:00","10/12/2025 - 19:03","Title IX Incident Non Criminal","CBE",NA,"7600 block of Library Ln"
"2025-00226940","10/12/2025 17:50:00","10/12/2025 - 19:15","Assault","CBE",NA,"3900 block of Denton Service Ln"
"2025-00226938","10/12/2025 19:03:00","10/12/2025 - 19:16","Assault","CBE",NA,"3900 block of Campus Dr"
"2025-00227448","10/12/2025 12:30:00","10/13/2025 - 09:54","Other Incident","CBE",NA,"8200 block of Paint Branch Dr"
"2025-00227710","10/10/2025 16:30:00","10/13/2025 - 15:25","Damage to State Property","Active/Pending",NA,"4000 block of Stadium Dr"
"2025-00227847","10/13/2025 17:20:00","10/13/2025 - 17:30","Injured/Sick Person","CBE",NA,"8400 block of Boteler Ln"
"2025-00228186","10/13/2025 21:48:00","10/14/2025 - 00:17","Accident - Departmental","CBE",NA,"Tulane Dr"
"2025-00228461","10/09/2025 12:00:00","10/14/2025 - 09:08","Vandalism","Active/Pending",NA,"5200 block of Greenbelt Rd"
"2025-00228584","10/14/2025 11:24:00","10/14/2025 - 11:24","Traffic Offense","CBE",NA,"4200 block of Knox Rd"
"2025-00228809","10/14/2025 02:00:00","10/14/2025 - 16:47","Vandalism","Active/Pending",NA,"4200 block of Valley Dr"
"2025-00228895","10/14/2025 17:00:00","10/14/2025 - 19:19","Assist Other Agency","Active/Pending",NA,"3900 block of Denton Service Ln"
"2025-00228921","10/14/2025 19:11:00","10/14/2025 - 19:45","Domestic","Active/Pending",NA,"8400 block of Boteler Ln"
"2025-00229025","10/14/2025 23:15:00","10/14/2025 - 23:15","Suspicious Activity","Active/Pending",NA,"8200 block of Paint Branch Dr"
"2025-00229066","10/15/2025 00:31:00","10/15/2025 - 00:31","CDS Violation","CBE",NA,"8000 block of Hagerstown Dr"
"2025-00229110","10/15/2025 02:37:00","10/15/2025 - 02:37","DWI/DUI","Arrest",NA,"University Blvd"
"2025-00229472","10/15/2025 13:39:00","10/15/2025 - 13:39","Other Incident","CBE",NA,"7700 block of Alumni Dr"
"2025-00229518","10/10/2025 17:00:00","10/15/2025 - 14:21","Theft","Active/Pending",NA,"7500 block of Yale Ave"
"2025-00229572","10/15/2025 14:33:00","10/15/2025 - 14:33","Assist Other Agency","CBE",NA,"7500 block of Baltimore Ave"
"2025-00229647","10/15/2025 16:35:00","10/15/2025 - 16:35","Emergency Petition","CBE",NA,"4200 block of Chapel Ln"
