"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2023-00088669","10/06/2023 21:53:00","10/06/2023 - 21:53","Injured/Sick Person","CBE",NA,"Lot 9b"
"2023-00088675","10/06/2023 22:20:00","10/06/2023 - 22:20","CDS Violation","CBE",NA,"4200 block of Valley Dr"
"2023-00088680","10/06/2023 23:00:00","10/06/2023 - 23:00","Injured/Sick Person","CBE",NA,"7500 block of Preinkert Dr"
"2023-00088697","10/06/2023 23:41:00","10/06/2023 - 23:41","Injured/Sick Person","CBE",NA,"7400 block of Baltimore Ave"
"2023-00088707","10/07/2023 00:01:00","10/07/2023 - 00:01","DWI/DUI","Arrest",NA,"University Blvd"
"2023-00088722","10/07/2023 00:56:00","10/07/2023 - 00:56","Injured/Sick Person","CBE",NA,"76, Symons Hall at 7998 Regents Dr"
"2023-00088726","10/07/2023 01:40:00","10/07/2023 - 01:40","DWI/DUI","Arrest",NA,"Lot 11b"
"2023-00088742","10/07/2023 01:45:00","10/07/2023 - 06:19","Assist Other Agency","CBE",NA,"Looney's Pub, The Varsity at 8150 Baltimore Ave"
"2023-00088749","10/06/2023 20:00:00","10/07/2023 - 07:38","Check on the  Welfare","CBE",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2023-00088761","10/06/2023 22:00:00","10/07/2023 - 09:13","Assist Other Agency","CBE",NA,"4300 block of Hartwick Rd"
"2023-00088880","10/07/2023 02:00:00","10/07/2023 - 18:10","Theft","Summons Issued",NA,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
"2023-00088982","10/08/2023 01:50:00","10/08/2023 - 01:50","DWI/DUI","Arrest",NA,"University Blvd"
"2023-00089064","10/07/2023 11:00:00","10/08/2023 - 09:45","Injured/Sick Person","CBE",NA,"6800 block of Preinkert Dr"
"2023-00089100","10/08/2023 12:05:00","10/08/2023 - 12:16","Theft","Investigation Pending",NA,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
"2023-00089170","10/08/2023 01:20:00","10/08/2023 - 16:22","Theft","Investigation Pending",NA,"Hagerstown Hall at 8075 Hagerstown Dr"
"2023-00089201","10/08/2023 19:54:00","10/08/2023 - 20:07","Assist Other Agency","CBE",NA,"4200 block of Knox Rd"
"2023-00089216","10/08/2023 21:09:00","10/08/2023 - 21:09","Injured/Sick Person","CBE",NA,"4500 block of College Ave"
"2023-00089272","10/09/2023 00:19:00","10/09/2023 - 00:19","Injured/Sick Person","CBE",NA,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
"2023-00089273","10/09/2023 00:15:00","10/09/2023 - 00:23","Assault","CBE",NA,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
"2023-00089295","10/09/2023 02:05:00","10/09/2023 - 02:17","Assist Other Agency","CBE",NA,"8900 block of Rhode Island Ave"
"2023-00089466","10/06/2023 15:00:00","10/09/2023 - 12:47","Theft","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00089497","10/09/2023 16:19:00","10/09/2023 - 16:19","Emergency Petition","CBE",NA,"Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
"2023-00089533","10/08/2023 17:42:00","10/09/2023 - 21:10","Theft","Investigation Pending",NA,"3400 block of Tulane Dr"
"2023-00089535","10/09/2023 21:10:00","10/09/2023 - 21:24","Assist Other Agency","CBE",NA,"7400 block of Princeton Ave"
"2023-00089550","10/09/2023 19:30:00","10/09/2023 - 22:27","Theft from Auto","Investigation Pending",NA,"Lot JJ2"
"2023-00089743","10/10/2023 12:53:00","10/10/2023 - 12:53","Injured/Sick Person","CBE",NA,"4200 block of Lehigh Rd"
