"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2023-00096431","10/24/2023 11:00:00","10/26/2023 - 07:11","Lost Property","CBE",NA,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
"2023-00096430","10/26/2023 07:22:00","10/26/2023 - 07:22","Assist Other Agency","CBE",NA,"8300 block of Baltimore Ave"
"2023-00096462","10/25/2023 23:00:00","10/26/2023 - 12:45","Theft","Investigation Pending",NA,"276 at 4322 Rowalt Dr"
"2023-00096516","10/26/2023 16:00:00","10/26/2023 - 16:35","Suspicious Activity","Active/Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00096537","10/24/2023 12:00:00","10/26/2023 - 18:17","Extortion","Investigation Pending",NA,"25, Charles, Charles Hall at 4405 Lehigh Rd"
"2023-00096562","10/26/2023 18:48:00","10/26/2023 - 19:50","Accident - Departmental","CBE",NA,"Route 32 West / Clarksville Pike"
"2023-00096613","10/26/2023 23:11:00","10/26/2023 - 23:11","Injured/Sick Person","CBE",NA,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
"2023-00096639","10/27/2023 00:43:00","10/27/2023 - 00:43","Disorderly Conduct","Arrest",NA,"School of Public Policy, Thurgood Marshall Hall at 7805 Regents Dr"
"2023-00096645","10/27/2023 00:59:00","10/27/2023 - 00:59","Injured/Sick Person","CBE",NA,"Commons 6, SCC 6, South Campus Commons 6 at 6901 Preinkert Dr"
"2023-00096648","10/27/2023 01:06:00","10/27/2023 - 01:06","Injured/Sick Person","CBE",NA,"Shuttle Bus Facility at 8537 Paint Branch Dr"
"2023-00096812","10/26/2003 18:00:00","10/27/2023 - 09:19","Theft","Investigation Pending",NA,"Cumberland Hall at 4250 Farm Dr"
"2023-00096819","10/27/2023 09:30:00","10/27/2023 - 10:21","Other Incident","CBE",NA,"Hillel, Hillel Jewish Center at 7612 Mowatt Ln"
"2023-00096843","10/27/2023 07:26:00","10/27/2023 - 11:46","Assist Other Agency","Active/Pending",NA,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
"2023-00096875","10/26/2023 18:00:00","10/27/2023 - 16:31","Dept Property Damage/Loss","CBE",NA,"5612 Enderly Rd"
"2023-00096957","10/27/2023 20:53:00","10/27/2023 - 20:53","DWI/DUI","Arrest",NA,"Rossborough Ln"
"2023-00096963","10/27/2023 21:00:00","10/27/2023 - 21:19","Assist Other Agency","CBE",NA,"4400 block of Calvert Rd"
"2023-00096981","10/27/2023 23:30:00","10/28/2023 - 00:10","Injured/Sick Person","CBE",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2023-00096983","10/28/2023 00:24:00","10/28/2023 - 00:24","DWI/DUI","Arrest",NA,"Baltimore Ave"
"2023-00096988","10/27/2023 11:57:00","10/28/2023 - 00:45","Assist Other Agency","Active/Pending",NA,"Artemesia Building at 8400 Baltimore Ave"
"2023-00097018","10/28/2023 02:37:00","10/28/2023 - 02:37","Warrant/Summons Service","Arrest",NA,"University Blvd"
"2023-00097023","10/28/2023 02:55:00","10/28/2023 - 02:55","Theft","CBE",NA,"Yahentamitsi at 4136 Stadium Dr"
"2023-00097025","10/28/2023 03:20:00","10/28/2023 - 03:20","Injured/Sick Person","CBE",NA,"7500 block of Yale Ave"
"2023-00097121","10/28/2023 10:10:00","10/28/2023 - 10:12","Other Incident","Active/Pending",NA,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
"2023-00097216","05/31/2023 12:57:00","10/28/2023 - 16:49","Check on the  Welfare","Active/Pending",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2023-00097260","10/27/2023 22:00:00","10/28/2023 - 20:19","Vandalism","Investigation Pending",NA,"3900 block of Denton Service Ln"
"2023-00097346","10/29/2023 00:11:00","10/29/2023 - 00:11","Injured/Sick Person","CBE",NA,"Baltimore Ave"
"2023-00097371","10/29/2023 01:39:00","10/29/2023 - 01:39","DWI/DUI","Arrest",NA,"Baltimore Ave"
"2023-00097372","10/29/2023 01:39:00","10/29/2023 - 01:39","Assist Other Agency","Active/Pending",NA,"4300 block of Hartwick Rd"
"2023-00097375","10/28/2023 23:00:00","10/29/2023 - 02:07","Other Incident","CBE",NA,"7600 block of Preinkert Dr"
"2023-00097376","10/29/2023 02:25:00","10/29/2023 - 02:25","Injured/Sick Person","CBE",NA,"Hartwick Rd"
"2023-00097377","10/29/2023 02:34:00","10/29/2023 - 02:34","Injured/Sick Person","CBE",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00097378","10/29/2023 00:00:00","10/29/2023 - 02:46","Injured/Sick Person","CBE",NA,"4700 block of Rossborough Ln"
"2023-00097535","10/29/2023 13:30:00","10/29/2023 - 13:30","Theft","Investigation Pending",NA,"35, McKeldin Library at 7649 Library Ln"
"2023-00097538","10/29/2023 00:00:00","10/29/2023 - 14:40","Vandalism","Investigation Pending",NA,"Hagerstown Hall at 8075 Hagerstown Dr"
"2023-00097539","10/28/2023 21:00:00","10/29/2023 - 14:44","Theft","Investigation Pending",NA,"61, Queen Anne, Queen Anne's Hall at 7645 Preinkert Dr"
"2023-00097658","10/29/2023 22:57:00","10/29/2023 - 22:57","Injured/Sick Person","CBE",NA,"Calvert Road Metro Entrance Rd"
"2023-00097811","10/27/2023 07:00:00","10/30/2023 - 08:53","Vandalism","Investigation Pending",NA,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
"2023-00097835","10/30/2023 09:55:00","10/30/2023 - 09:55","Injured/Sick Person","CBE",NA,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
"2023-00097839","10/27/2023 17:00:00","10/30/2023 - 10:04","Vandalism","Active/Pending",NA,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
"2023-00097848","10/27/2023 10:00:00","10/30/2023 - 10:28","Vandalism","Investigation Pending",NA,"Hornbake, Hornbake Library at 4130 Campus Dr"
"2023-00097880","10/27/2023 16:00:00","10/30/2023 - 13:03","Vandalism","Investigation Pending",NA,"School of Public Policy, Thurgood Marshall Hall at 7805 Regents Dr"
"2023-00097890","10/27/2023 22:30:00","10/30/2023 - 14:21","Theft","Investigation Pending",NA,"4200 block of Chapel Ln"
"2023-00097976","10/30/2023 19:20:00","10/30/2023 - 19:29","Injured/Sick Person","CBE",NA,"3501 University Blvd"
"2023-00098048","10/30/2023 23:51:00","10/30/2023 - 23:51","Suspicious Activity","CBE",NA,"Frat Row"
"2023-00098085","10/31/2023 01:05:00","10/31/2023 - 01:05","DWI/DUI","Arrest",NA,"Campus Dr"
"2023-00098089","10/31/2023 01:56:00","10/31/2023 - 01:56","Emergency Petition","CBE",NA,"4300 block of Guilford Dr"
"2023-00098237","10/28/2023 13:51:00","10/31/2023 - 09:04","Suspicious Activity","CBE",NA,"4200 block of Campus Dr"
"2023-00098343","10/27/2023 00:00:00","10/31/2023 - 14:37","Other Incident","Active/Pending",NA,"Frat 2, Pi Kappa Alpha, Pi Kappa Alpha Fraternity at 2 Fraternity Row"
"2023-00098370","10/31/2023 14:20:00","10/31/2023 - 16:20","Other Incident","Active/Pending",NA,"3800 block of Campus Dr"
"2023-00098397","10/31/2023 16:58:00","10/31/2023 - 16:58","Injured/Sick Person","CBE",NA,"Health Center at 3983 Campus Dr"
"2023-00098541","10/31/2023 20:50:00","10/31/2023 - 23:01","Emergency Petition","CBE",NA,"7500 block of Calvert Service Ln"
