"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2024-00165213","10/03/2024 22:30:00","10/03/2024 - 22:41","Injured/Sick Person","CBE",NA,"8500 block of Paint Branch Dr"
"2024-00165267","10/03/2024 15:00:00","10/03/2024 - 23:10","Injured/Sick Person","CBE",NA,"4000 block of Stadium Dr"
"2024-00165285","10/03/2024 23:22:00","10/03/2024 - 23:22","DWI/DUI","Arrest",NA,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
"2024-00165367","10/04/2024 00:33:00","10/04/2024 - 00:33","Injured/Sick Person","CBE",NA,"4300 block of Knox Rd"
"2024-00165402","10/03/2024 22:00:00","10/04/2024 - 01:02","Vandalism","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2024-00165659","10/04/2024 08:21:00","10/04/2024 - 08:21","Traffic Arrest","Arrest",NA,"Lot Y"
"2024-00165662","10/03/2024 17:40:00","10/04/2024 - 09:05","Theft","Investigation Pending",NA,"Lot 3"
"2024-00165689","10/03/2024 21:30:00","10/04/2024 - 13:32","Theft","Investigation Pending",NA,"Lot 11b"
"2024-00165699","10/02/2024 17:00:00","10/04/2024 - 15:47","Vandalism","Investigation Pending",NA,"Lot C1"
"2024-00165892","10/03/2024 20:00:00","10/04/2024 - 18:41","Vandalism","Investigation Pending",NA,"Lot 3"
"2024-00166012","10/04/2024 17:00:00","10/04/2024 - 21:01","Theft","Active/Pending",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2024-00166014","09/29/2024 21:15:00","10/04/2024 - 21:03","Other Incident","CBE",NA,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
"2024-00166018","10/04/2024 21:09:00","10/04/2024 - 21:09","Injured/Sick Person","CBE",NA,"Frat 5, Phi Kappa Tau Fraternity at 5 Fraternity Row"
"2024-00166111","10/04/2024 23:34:00","10/04/2024 - 23:34","Injured/Sick Person","CBE",NA,"8100 block of Baltimore Ave"
"2024-00166318","10/05/2024 01:30:00","10/05/2024 - 01:45","CDS Violation","Summons Issued",NA,"Varsity Sports Teamhouse at 4117 Stadium Dr"
"2024-00166329","10/05/2024 02:26:00","10/05/2024 - 02:26","Injured/Sick Person","CBE",NA,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
"2024-00166339","10/05/2024 02:48:00","10/05/2024 - 02:48","Injured/Sick Person","CBE",NA,"South Gate at 7567 Regents Dr"
"2024-00166340","10/05/2024 02:49:00","10/05/2024 - 02:49","Injured/Sick Person","CBE",NA,"South Gate at 7567 Regents Dr"
"2024-00166341","10/05/2024 02:30:00","10/05/2024 - 02:53","Injured/Sick Person","CBE",NA,"South Gate at 7567 Regents Dr"
"2024-00166421","09/14/2024 12:00:00","10/05/2024 - 06:10","Vehicle Tampering","Active/Pending",NA,"Lot 3"
"2024-00166488","10/04/2024 23:30:00","10/05/2024 - 07:59","Injured/Sick Person","CBE",NA,"Hagerstown Hall at 8075 Hagerstown Dr"
"2024-00166601","10/02/2024 20:00:00","10/05/2024 - 10:55","Theft","Investigation Pending",NA,"Lot 11b"
"2024-00166609","10/02/2024 19:00:00","10/05/2024 - 11:04","Theft","Investigation Pending",NA,"Lot 3"
"2024-00166608","10/05/2024 11:05:00","10/05/2024 - 11:05","Theft","Arrest",NA,"3800 block of Campus Dr"
"2024-00166614","10/04/2024 19:30:00","10/05/2024 - 11:37","Vandalism","Investigation Pending",NA,"Lot 14c"
"2024-00166724","10/05/2024 01:30:00","10/05/2024 - 16:22","Theft","Arrest",NA,"Johnson-Whittle Hall at 4118 Stadium Dr"
"2024-00166832","10/05/2024 18:00:00","10/05/2024 - 20:24","Injured/Sick Person","CBE",NA,"La Plata Hall at 8160 La Plata Dr"
"2024-00166875","10/05/2024 21:58:00","10/05/2024 - 21:58","Injured/Sick Person","CBE",NA,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
"2024-00166877","10/05/2024 21:22:00","10/05/2024 - 22:01","Other Incident","Investigation Pending",NA,"7400 block of Hopkins Ave"
"2024-00167280","10/06/2024 02:08:00","10/06/2024 - 02:08","Injured/Sick Person","CBE",NA,"Baltimore Ave"
"2024-00167372","10/06/2024 03:01:00","10/06/2024 - 03:01","Injured/Sick Person","CBE",NA,"7000 block of Preinkert Dr"
"2024-00167379","10/06/2024 03:18:00","10/06/2024 - 03:18","DWI/DUI","Arrest",NA,"Adelphi Rd"
"2024-00167644","10/06/2024 10:42:00","10/06/2024 - 10:42","Vandalism","Investigation Pending",NA,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
"2024-00168457","10/06/2024 18:30:00","10/06/2024 - 20:51","Theft","Investigation Pending",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00168473","10/06/2024 18:00:00","10/06/2024 - 21:24","Theft","Investigation Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00168562","10/06/2024 22:46:00","10/06/2024 - 22:46","DWI/DUI","Arrest",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00168596","10/06/2024 22:46:00","10/06/2024 - 23:30","Disorderly Conduct","Arrest",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00168783","10/07/2024 02:06:00","10/07/2024 - 02:20","Injured/Sick Person","CBE",NA,"7400 block of Preinkert Dr"
"2024-00168912","05/31/2024 14:30:00","10/07/2024 - 07:20","Damage to State Property","CBE",NA,", Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245 Greenbelt Rd"
"2024-00169067","10/04/2024 12:00:00","10/07/2024 - 10:17","Theft","Active/Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00169306","10/07/2024 16:43:00","10/07/2024 - 16:43","Emergency Petition","CBE",NA,"Health Center at 3983 Campus Dr"
"2024-00169328","10/07/2024 15:20:00","10/07/2024 - 17:15","Theft","Warrant Issued",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00169333","10/07/2024 17:30:00","10/07/2024 - 17:30","Check on the  Welfare","CBE",NA,"4200 block of Farm Dr"
"2024-00169339","10/07/2024 17:00:00","10/07/2024 - 18:03","Theft","Investigation Pending",NA,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
"2024-00169341","10/07/2024 16:30:00","10/07/2024 - 18:35","Vandalism","Investigation Pending",NA,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
"2024-00169351","10/07/2024 19:00:00","10/07/2024 - 19:40","Theft","Investigation Pending",NA,"48, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
"2024-00169744","10/08/2024 04:10:00","10/08/2024 - 04:10","Injured/Sick Person","CBE",NA,"Cumberland Hall at 4250 Farm Dr"
"2024-00170167","10/08/2024 11:00:00","10/08/2024 - 12:50","Theft","Investigation Pending",NA,"Football Team House, Gossett, Gossett Hall at 4068 Fieldhouse Dr"
"2024-00170180","10/01/2024 18:00:00","10/08/2024 - 13:10","Theft","Active/Pending",NA,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
"2024-00170214","10/08/2024 13:49:00","10/08/2024 - 13:49","Emergency Petition","CBE",NA,"3900 block of Denton Service Ln"
"2024-00170415","10/08/2024 09:00:00","10/08/2024 - 19:51","Theft","Investigation Pending",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00170430","10/08/2024 17:00:00","10/08/2024 - 20:40","Theft","Investigation Pending",NA,"La Plata Hall at 8160 La Plata Dr"
"2024-00170495","10/08/2024 19:00:00","10/08/2024 - 22:09","Theft","Active/Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00170498","10/08/2024 13:00:00","10/08/2024 - 22:20","Theft","Active/Pending",NA,"Hagerstown Hall at 8075 Hagerstown Dr"
"2024-00170891","02/01/2024 12:00:00","10/09/2024 - 11:49","Police Information","CBE",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00170923","10/09/2024 13:15:00","10/09/2024 - 13:26","Hazardous Condition","CBE",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2024-00170929","10/07/2024 08:00:00","10/09/2024 - 13:42","Theft","Active/Pending",NA,"University Courtyard #5 at 8500 Boteler Ln"
"2024-00171030","10/09/2024 16:27:00","10/09/2024 - 16:27","Emergency Petition","CBE",NA,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
"2024-00171121","10/09/2024 17:00:00","10/09/2024 - 19:08","Theft","Investigation Pending",NA,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
"2024-00171578","10/10/2024 09:40:00","10/10/2024 - 09:40","Injured/Sick Person","CBE",NA,"Health Center at 3983 Campus Dr"
"2024-00171620","10/10/2024 09:50:00","10/10/2024 - 10:48","Assist Other Agency","CBE",NA,"Ancestors Lane / Calvert Rd"
"2024-00171633","10/10/2024 11:15:00","10/10/2024 - 11:15","Theft","Active/Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00171634","10/10/2024 11:19:00","10/10/2024 - 11:19","Emergency Petition","CBE",NA,"4200 block of Chapel Ln"
"2024-00171674","10/10/2024 11:15:00","10/10/2024 - 14:27","Dept Property Damage/Loss","CBE",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2024-00171706","10/10/2024 12:57:00","10/10/2024 - 15:32","Theft","Summons Issued",NA,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
"2024-00171766","10/02/2024 17:00:00","10/10/2024 - 17:08","Theft","Investigation Pending",NA,"Lot 11b"
"2024-00172094","10/11/2024 00:38:00","10/11/2024 - 00:38","DWI/DUI","Arrest",NA,"7700 block of Baltimore Ave"
"2024-00172233","10/11/2024 03:11:00","10/11/2024 - 03:11","Emergency Petition","CBE",NA,"60, Anne Arundel, Anne Arundel Hall at 3915 Campus Dr"
"2024-00172730","10/10/2024 17:00:00","10/11/2024 - 12:10","Vandalism","Active/Pending",NA,"8200 block of Paint Branch Dr"
"2024-00172904","10/11/2024 17:37:00","10/11/2024 - 17:37","Injured/Sick Person","CBE",NA,"4200 block of Lehigh Rd"
"2024-00172915","10/11/2024 16:00:00","10/11/2024 - 18:14","Theft","Investigation Pending",NA,"4200 block of Valley Dr"
"2024-00172924","10/11/2024 00:15:00","10/11/2024 - 18:51","Theft","Investigation Pending",NA,"98, Centreville, Centreville Hall at 4243 Valley Dr"
"2024-00172933","10/11/2024 19:20:00","10/11/2024 - 19:20","Accident","CBE",NA,"Campus Dr"
"2024-00172936","10/11/2024 19:43:00","10/11/2024 - 19:43","Injured/Sick Person","CBE",NA,"Hagerstown Hall at 8075 Hagerstown Dr"
"2024-00172942","10/11/2024 19:56:00","10/11/2024 - 19:56","Injured/Sick Person","CBE",NA,"Lot UU"
"2024-00172962","10/11/2024 20:52:00","10/11/2024 - 20:52","Injured/Sick Person","CBE",NA,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
"2024-00172973","10/11/2024 21:30:00","10/11/2024 - 21:30","Vandalism","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2024-00172984","10/11/2024 22:00:00","10/11/2024 - 22:10","Injured/Sick Person","CBE",NA,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
"2024-00172988","10/11/2024 22:00:00","10/11/2024 - 22:20","Suspicious Activity","CBE",NA,"Elkton, Elkton Hall at 3981 Denton Service Ln"
"2024-00172995","10/11/2024 20:30:00","10/11/2024 - 22:43","Theft","Investigation Pending",NA,"Yahentamitsi at 4136 Stadium Dr"
"2024-00173011","10/11/2024 23:39:00","10/11/2024 - 23:39","Trespassing","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00173015","10/11/2024 23:50:00","10/12/2024 - 00:04","Suspicious Activity","CBE",NA,"Stadium Dr"
"2024-00173016","10/12/2024 00:00:00","10/12/2024 - 00:08","Fire","CBE",NA,"Lot 1c"
"2024-00173028","10/11/2024 12:00:00","10/12/2024 - 00:22","Theft","Investigation Pending",NA,"LaPlata Beach"
"2024-00173135","10/12/2024 01:14:00","10/12/2024 - 01:21","Injured/Sick Person","CBE",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00173146","10/12/2024 01:15:00","10/12/2024 - 01:25","Injured/Sick Person","CBE",NA,"7200 block of Baltimore Ave"
"2024-00173156","10/12/2024 01:28:00","10/12/2024 - 01:27","Injured/Sick Person","CBE",NA,"7-11 Guilford, 7-Eleven Guilford at 7201 Baltimore Ave"
"2024-00173162","10/12/2024 01:42:00","10/12/2024 - 01:42","Injured/Sick Person","CBE",NA,"Bank of America at 7370 Baltimore Ave"
"2024-00173234","10/12/2024 02:47:00","10/12/2024 - 02:47","DWI/DUI","Arrest",NA,"University Blvd"
"2024-00173453","10/12/2024 08:44:00","10/12/2024 - 08:44","Suspicious Person/Auto","CBE",NA,"Hornbake, Hornbake Library at 4130 Campus Dr"
"2024-00173557","10/11/2024 22:30:00","10/12/2024 - 11:51","Assist Other Agency","CBE",NA,"8200 block of Baltimore Ave"
"2024-00173562","10/12/2024 00:30:00","10/12/2024 - 12:14","Theft","Investigation Pending",NA,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
"2024-00173630","10/12/2024 16:40:00","10/12/2024 - 16:45","Assault","Investigation Pending",NA,"Engineering Fields"
"2024-00173661","10/12/2024 00:01:00","10/12/2024 - 17:39","Accident - Departmental","Active/Pending",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00173847","10/12/2024 21:40:00","10/12/2024 - 21:42","Injured/Sick Person","CBE",NA,"School of Public Policy, Thurgood Marshall Hall at 7805 Regents Dr"
"2024-00173865","10/12/2024 22:00:00","10/12/2024 - 22:13","Vandalism","Investigation Pending",NA,"Easton, Easton Hall at 3917 Denton Service Ln"
"2024-00173864","10/12/2024 22:14:00","10/12/2024 - 22:14","Injured/Sick Person","CBE",NA,"4200 block of Valley Dr"
"2024-00173984","10/13/2024 00:00:00","10/13/2024 - 00:03","CDS Violation","Active/Pending",NA,"31, Garrett, Garrett Hall at 7570 Calvert Service Ln"
"2024-00174581","10/11/2024 13:00:00","10/13/2024 - 17:44","Theft","Investigation Pending",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2024-00174718","10/13/2024 21:39:00","10/13/2024 - 21:39","Injured/Sick Person","CBE",NA,"24, Allegany, Allegany Hall at 4299 Lehigh Rd"
"2024-00175255","10/14/2024 00:00:00","10/14/2024 - 08:37","Theft","Investigation Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00175541","10/13/2024 17:00:00","10/14/2024 - 15:09","Theft","Investigation Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00175542","10/13/2024 17:00:00","10/14/2024 - 15:22","Theft","Investigation Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00175692","10/14/2024 18:33:00","10/14/2024 - 19:33","Injured/Sick Person","CBE",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2024-00175695","05/31/2024 00:00:00","10/14/2024 - 19:37","Harassment/Stalking","CBE",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2024-00177604","10/14/2024 19:37:00","10/14/2024 - 19:40","Assault","CBE",NA,"Regents Dr"
"2024-00175698","10/14/2024 20:20:00","10/14/2024 - 20:20","Injured/Sick Person","CBE",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2024-00175881","10/14/2024 20:00:00","10/15/2024 - 01:24","Theft","Investigation Pending",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00176106","10/15/2024 09:15:00","10/15/2024 - 09:23","Injured/Sick Person","CBE",NA,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
"2024-00176164","10/14/2024 20:30:00","10/15/2024 - 10:53","Theft","Investigation Pending",NA,"Cumberland Hall at 4250 Farm Dr"
"2024-00176167","10/15/2024 11:05:00","10/15/2024 - 11:07","Emergency Petition","CBE",NA,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
"2024-00176225","10/14/2024 14:30:00","10/15/2024 - 13:29","Theft","Investigation Pending",NA,"4100 block of Stadium Dr"
"2024-00176275","10/08/2024 14:42:00","10/15/2024 - 15:08","Theft","Investigation Pending",NA,"Tawes, Tawes Hall at 7751 Alumni Dr"
"2024-00176328","10/11/2024 20:22:00","10/15/2024 - 16:02","Assist Other Agency","CBE",NA,"4600 block of Knox Rd"
"2024-00176351","10/15/2024 16:31:00","10/15/2024 - 16:31","Injured/Sick Person","CBE",NA,"7500 block of Rhode Island Ave"
"2024-00176370","10/15/2024 16:50:00","10/15/2024 - 17:08","Other Incident","CBE",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00176375","10/11/2024 17:00:00","10/15/2024 - 17:17","Vandalism","Active/Pending",NA,"Lot 11b"
"2024-00176376","10/14/2024 21:00:00","10/15/2024 - 17:26","Theft","Summons Issued",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00176427","09/21/2024 14:00:00","10/15/2024 - 18:32","Theft","Investigation Pending",NA,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
"2024-00176530","10/15/2024 23:23:00","10/15/2024 - 23:23","Other Incident","CBE",NA,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr"
"2024-00176879","10/16/2021 09:21:00","10/16/2024 - 09:21","Injured/Sick Person","CBE",NA,"7700 block of Baltimore Ave"
"2024-00176989","10/16/2024 13:24:00","10/16/2024 - 13:24","Emergency Petition","CBE",NA,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
"2024-00177012","10/16/2024 15:23:00","10/16/2024 - 15:23","Pedestrian Struck","CBE",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2024-00177291","10/16/2024 19:20:00","10/16/2024 - 19:23","Injured/Sick Person","CBE",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2024-00177296","10/16/2024 19:48:00","10/16/2024 - 19:48","Recovered Stolen Motor Vehicle","Summons Issued",NA,"West Gate at 3841 Stadium Dr"
"2024-00177306","10/16/2024 19:59:00","10/16/2024 - 20:25","Injured Officer","CBE",NA,"Campus Dr"
"2024-00177308","10/16/2024 20:50:00","10/16/2024 - 21:10","Emergency Petition","CBE",NA,"4200 block of Farm Dr"
"2024-00177314","10/16/2024 22:17:00","10/16/2024 - 22:17","CDS Violation","Active/Pending",NA,"3800 block of Stadium Dr"
"2024-00177318","10/16/2024 19:54:00","10/16/2024 - 22:45","Theft","Summons Issued",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00177369","10/17/2024 00:12:00","10/17/2024 - 00:12","Suspicious Person/Auto","CBE",NA,"Capital One Field, Football Stadium, SECU Stadium"
"2024-00177405","10/17/2024 01:41:00","10/17/2024 - 01:41","DWI/DUI","Arrest",NA,"University Blvd"
"2024-00177433","10/17/2024 03:00:00","10/17/2024 - 03:46","Injured/Sick Person","CBE",NA,"24, Allegany, Allegany Hall at 4299 Lehigh Rd"
"2024-00177579","10/16/2024 22:25:00","10/17/2024 - 08:23","Theft","Arrest",NA,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
"2024-00177629","10/08/2024 08:00:00","10/17/2024 - 10:16","Suspicious Activity","Active/Pending",NA,"Johnson-Whittle Hall at 4118 Stadium Dr"
"2024-00177721","10/17/2024 12:40:00","10/17/2024 - 13:15","Extortion","Investigation Pending",NA,"7500 block of Regents Dr"
"2024-00177757","10/17/2024 13:00:00","10/17/2024 - 16:14","Suspicious Activity","CBE",NA,"Tawes, Tawes Hall at 7751 Alumni Dr"
"2024-00177798","10/17/2024 14:05:00","10/17/2024 - 17:30","Theft","Investigation Pending",NA,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
"2024-00177949","10/17/2024 22:00:00","10/17/2024 - 22:04","Injured/Sick Person","CBE",NA,"Ellicott Area Dining Hall at 4028 Stadium Dr"
"2024-00178097","10/17/2024 23:52:00","10/17/2024 - 23:52","Injured/Sick Person","CBE",NA,"4500 block of Knox Rd"
"2024-00178231","10/18/2024 01:25:00","10/18/2024 - 01:25","Alarm","CBE",NA,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
"2024-00178673","10/11/2024 11:30:00","10/18/2024 - 09:12","Lost Property","Active/Pending",NA,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
"2024-00178709","10/18/2024 11:05:00","10/18/2024 - 11:05","Injured/Sick Person","CBE",NA,"UMGC Hotel at 348 Ehrensberger Dr"
"2024-00178731","10/18/2024 08:30:00","10/18/2024 - 12:38","Theft","Investigation Pending",NA,"Lot 11b"
"2024-00178732","10/17/2024 20:30:00","10/18/2024 - 12:48","Theft","Investigation Pending",NA,"Lot 3"
"2024-00178773","10/18/2024 15:07:00","10/18/2024 - 15:07","Vandalism","Investigation Pending",NA,"7600 block of Library Ln"
"2024-00178789","10/18/2024 15:20:00","10/18/2024 - 16:32","Suspicious Person/Auto","CBE",NA,"Chapel Field"
"2024-00178926","10/18/2024 19:00:00","10/18/2024 - 19:12","Assist Other Agency","Active/Pending",NA,"4900 block of Campus Dr"
