"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2024-00163171","10/01/2024 02:54:00","10/01/2024 - 02:54","Suspicious Activity","CBE",NA,"University Blvd"
"2024-00163376","09/30/2024 22:00:00","10/01/2024 - 09:00","Theft","Investigation Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00163466","10/01/2024 10:00:00","10/01/2024 - 12:07","Theft","Active/Pending",NA,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
"2024-00163469","10/01/2024 12:11:00","10/01/2024 - 12:11","Trespassing","CBE",NA,"26, South Campus Dining Hall at 7093 Preinkert Dr"
"2024-00163492","10/01/2024 13:40:00","10/01/2024 - 13:53","Pedestrian Struck","CBE",NA,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
"2024-00163601","10/01/2024 16:20:00","10/01/2024 - 16:21","CDS Violation","Active/Pending",NA,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
"2024-00163681","10/01/2024 14:50:00","10/01/2024 - 17:56","Theft","Summons Issued",NA,"14, Harford Hall at 7660 Regents Dr"
"2024-00163686","10/01/2024 18:28:00","10/01/2024 - 18:28","Injured/Sick Person","CBE",NA,"8200 block of Alumni Dr"
"2024-00163716","10/01/2024 07:30:00","10/01/2024 - 19:36","Theft","Investigation Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00163759","10/01/2024 15:00:00","10/01/2024 - 20:55","Theft","Warrant Issued",NA,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
"2024-00163886","10/02/2024 02:30:00","10/02/2024 - 02:30","Assist Other Agency","CBE",NA,"4300 block of Hartwick Rd"
"2024-00163912","10/01/2024 17:00:00","10/02/2024 - 03:48","Theft","Warrant Issued",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00163986","10/01/2024 19:30:00","10/02/2024 - 06:49","Theft","Investigation Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00164136","10/02/2024 10:10:00","10/02/2024 - 10:17","Pedestrian Struck","CBE",NA,"35, McKeldin Library at 7649 Library Ln"
"2024-00164161","10/01/2024 19:30:00","10/02/2024 - 11:04","Theft","Warrant Issued",NA,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
"2024-00164173","10/01/2024 18:00:00","10/02/2024 - 11:16","Theft","Summons Issued",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00164208","09/30/2024 15:00:00","10/02/2024 - 13:22","Theft","Investigation Pending",NA,"Field Hockey & Women's Lacrosse Stadium at 8483 Paint Branch Dr"
"2024-00164210","10/01/2024 23:45:00","10/02/2024 - 13:55","Theft","Investigation Pending",NA,"16, Baltimore, Baltimore Hall at 7497 Calvert Service Ln"
"2024-00164256","10/01/2024 23:30:00","10/02/2024 - 15:33","Theft","Warrant Issued",NA,"22, Kent, Kent Hall at 7565 Calvert Service Ln"
"2024-00164262","10/01/2024 21:30:00","10/02/2024 - 15:41","Theft","Active/Pending",NA,"La Plata Hall at 8160 La Plata Dr"
"2024-00164313","10/01/2024 15:00:00","10/02/2024 - 16:43","Theft","Investigation Pending",NA,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
"2024-00164317","10/02/2024 14:30:00","10/02/2024 - 16:52","Theft","Investigation Pending",NA,"Tawes, Tawes Hall at 7751 Alumni Dr"
"2024-00164359","10/02/2024 13:00:00","10/02/2024 - 17:53","Theft","Investigation Pending",NA,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
"2024-00164402","10/02/2024 17:10:00","10/02/2024 - 18:50","Theft","Active/Pending",NA,"Oakland, Oakland Hall at 3912 Denton Service Ln"
"2024-00164432","10/02/2024 18:55:00","10/02/2024 - 19:59","Theft","Arrest",NA,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
"2024-00164499","10/02/2024 21:00:00","10/03/2024 - 00:41","Theft","Active/Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00164517","10/02/2024 21:00:00","10/03/2024 - 01:22","Theft","Active/Pending",NA,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
"2024-00164520","10/03/2024 01:35:00","10/03/2024 - 01:35","Theft","Arrest",NA,"Graduate Hills Apartment #291 at 3413 Tulane Dr"
"2024-00164786","10/03/2024 10:00:00","10/03/2024 - 10:12","Injured/Sick Person","CBE",NA,"Health Center at 3983 Campus Dr"
"2024-00164838","09/25/2024 15:00:00","10/03/2024 - 11:17","Theft","Active/Pending",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2024-00164874","10/02/2024 17:55:00","10/03/2024 - 11:49","Theft","Investigation Pending",NA,"251 North, Denton Area Dining Hall at 3951 Denton Service Ln"
"2024-00164996","10/03/2024 13:56:00","10/03/2024 - 16:07","Theft","Active/Pending",NA,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
"2024-00165000","10/03/2024 16:00:00","10/03/2024 - 16:18","Injured/Sick Person","CBE",NA,"Frat 14, Sigma Chi, Sigma Chi Fraternity at 14 Fraternity Row"
"2024-00165002","10/03/2024 16:20:00","10/03/2024 - 16:30","Fire","CBE",NA,"84, Kirwan Hall, Mathematics Building, William E. Kirwan Hall at 4176 Campus Dr"
"2024-00165093","10/02/2024 20:00:00","10/03/2024 - 18:03","Theft","Investigation Pending",NA,"277 at 4323 Rowalt Dr"
"2024-00165098","09/23/2024 12:33:00","10/03/2024 - 18:19","Other Incident","Investigation Pending",NA,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
"2024-00165177","10/03/2024 20:50:00","10/03/2024 - 20:50","Injured/Sick Person","CBE",NA,"4200 block of Knox Rd"
"2024-00165191","10/03/2024 21:59:00","10/03/2024 - 21:59","Injured/Sick Person","CBE",NA,"7500 block of Regents Dr"
